subject,accuracy
1,0.7000
2,0.8778
3,0.4111
4,0.4889
5,0.5111
6,0.4667
7,0.9778
8,0.5000
9,0.4333
10,0.5889
11,0.5889
12,0.4889
13,0.5667
14,0.5222
15,0.6556
16,0.6111
17,0.6222
18,0.4333
19,0.6222
20,0.5333
21,0.5444
22,0.7333
23,0.5444
24,0.3889
25,0.5333
26,0.6778
27,0.5444
28,0.5444
29,1.0000
30,0.5000
31,0.7889
32,0.5667
33,0.6667
34,0.7778
35,0.7667
36,0.3556
37,0.4222
38,0.3778
39,0.4111
40,0.3889
41,0.5000
42,0.8333
43,0.5222
44,0.6000
45,0.6556
46,0.4778
47,0.5111
48,0.6222
49,0.6889
50,0.6222
51,0.5778
52,0.6333
53,0.7556
54,0.7889
55,0.8000
56,0.8444
57,0.5000
58,0.4889
59,0.3556
60,0.8111
61,0.6778
62,0.9444
63,0.5556
64,0.5778
65,0.5556
66,0.4444
67,0.4889
68,0.3778
69,0.5333
70,0.6333
71,0.6778
72,0.8556
73,0.3556
74,0.5222
75,0.6111
76,0.4000
77,0.3667
78,0.4111
79,0.4333
80,0.4889
81,0.5556
82,0.5889
83,0.5778
84,0.5222
85,0.7667
86,0.7000
87,0.4000
90,0.5778
91,0.6444
93,0.7222
94,0.7222
95,0.5000
96,0.4667
97,0.5000
98,0.5778
99,0.5111
101,0.4889
102,0.5778
103,0.6111
105,0.4556
106,0.3667
107,0.3111
108,0.6222
109,0.4222
